1	6	30	25.3	13.7	5449
2	2	11	-11.1	-17.4	3177
5	9	26	17.7	5.3	3155
0	7	6	28.1	16.4	3592
0	8	3	26	18.7	83
3	7	16	23.4	10.4	6870
0	1	19	1.4	-13.6	256
5	3	7	-2.3	-13.3	6806
2	12	9	7.2	0.1	1641
1	1	20	-13.7	-18.3	262
3	8	6	22.7	14.1	1705
2	3	4	1.9	-5.8	993
5	3	21	1.8	-10.3	202
3	7	9	23.3	15.3	3124
4	2	6	-9.9	-24.3	3158
5	3	14	0.3	-3.3	156
5	7	4	24.8	14.1	1294
4	1	16	-2.4	-20.2	177
2	4	22	9.6	4.1	2119
6	11	1	12.9	5.5	66
0	6	29	19.2	12.2	4305
1	11	3	15.5	4.7	692
1	8	4	25.7	17.5	1430
2	1	7	-9	-26.4	1459
5	10	3	13.2	2.9	516
0	10	26	7.2	-0.8	3012
3	7	2	23.1	13.3	79
5	1	17	-14.9	-23.9	48
5	8	15	27.7	19.3	3586
2	2	25	-4.6	-17.6	252
1	11	10	12.8	-0.1	1574
4	10	16	11.5	4.9	3424
3	9	3	28.1	16.2	350
0	11	9	11.9	1.7	6787
2	8	19	31.2	20.6	5339
4	6	5	24.6	14	6496
5	6	13	26.6	12.5	5493
5	3	28	-1.8	-9.3	313
6	9	27	23.1	5.9	3325
6	5	24	25.7	12.7	3891
1	10	20	17.5	6.9	3750
2	5	20	15.6	6.8	5698
3	8	20	30.5	19.2	5189
6	9	20	18.2	9.4	3042
6	1	11	-4.2	-12.2	529
4	5	29	25.4	10.3	7093
4	7	24	24	16.4	4051
0	10	5	15.6	4.5	2060
6	8	2	27	14.9	36
5	8	8	23.6	12.7	2593
3	9	24	19.2	10.1	6520
0	3	9	2.5	-3.5	5858
3	4	23	6.4	1.7	1670
4	9	25	15.3	6.8	5191
1	4	28	19.7	3.7	4359
4	10	23	8.2	-0.4	3142
5	4	11	8.4	2.6	3757
5	10	17	6.2	-2	963
6	7	26	27.3	19.1	3136
5	7	18	25.5	18.1	3017
0	4	6	2.8	-6.2	7242
3	10	8	12.1	3.9	5191
6	3	1	-3.4	-17.3	79
6	4	26	12.4	3.2	1553
0	8	17	30.7	20	4999
6	7	19	28.7	20.1	2478
0	1	5	-5.3	-17.9	4762
2	8	26	22.7	15.9	5644
3	10	29	14.8	6.9	2249
2	8	5	24	15.9	6837
0	3	16	2.3	-11.4	327
4	1	30	-2.1	-18.6	181
2	3	25	6.9	-8.7	658
2	6	10	24	15.6	4986
5	4	18	10.1	2.3	1225
0	6	22	26.6	17.2	5346
0	7	13	30.1	20	5388
3	5	14	18.6	5.8	6505
5	9	19	28.3	14	3337
3	10	15	13.7	2.4	3583
3	10	22	16.9	3.4	3207
4	7	3	24.6	12.7	98
1	12	8	3.9	-0.4	3914
4	3	27	2.2	-5.5	502
5	8	29	23.8	14.5	3455
6	9	6	30.8	18.4	3388
1	1	13	-17	-23.1	183
5	5	2	23.6	7.3	236
3	1	29	-0.2	-16.2	327
5	6	20	24.5	9.8	5523
5	5	23	17.2	2.7	3285
6	8	23	27.7	16	3742
5	12	5	6.3	2.2	3044
4	10	30	8.4	-1.2	2630
5	2	21	-7.6	-17.5	59
3	6	4	24.5	8.1	398
5	8	22	24.9	15.5	3907
6	6	28	19.7	12.7	732
1	6	9	22.4	15.7	3701
0	11	2	10.8	5.2	300
1	3	31	2.2	-4.9	729
0	2	9	-11.7	-15.6	5565
6	5	17	24	14.5	4634
1	1	27	-9.6	-16.2	276
4	9	11	24.7	13.8	2972
4	5	22	13.4	3.7	4478
4	8	14	24.6	15.7	3154
3	1	1	-3	-7.6	58
2	10	14	14.4	2.9	4321
5	10	10	10	2.6	1653
6	10	18	4.7	-4.3	1062
2	11	4	13.5	1.4	779
0	12	7	4.1	-2	4043
1	2	10	-7.1	-14.8	4092
1	4	14	16.8	5.4	2890
6	6	21	24.7	18.8	2157
4	9	4	26.1	12.6	1498
1	6	2	13.3	6.5	193
1	3	3	-3.7	-19.1	274
6	5	31	14.5	8.2	2430
1	2	17	-13	-24.2	250
6	8	16	28.7	20.2	3975
1	3	10	7.8	-4.1	2019
1	12	1	4.1	-7.3	183
4	12	11	14	6.4	1751
0	7	20	27.6	19.4	5807
1	10	13	17.9	12.1	3457
2	1	28	-8.6	-15.2	335
3	4	9	6.9	0.2	5521
4	5	1	19.3	7.6	42
3	3	5	-5.8	-18.6	4474
0	2	2	-17.3	-22.5	127
1	8	18	30.9	21.6	5413
6	12	6	5.8	-0.7	3600
5	5	9	28.1	12.8	4105
2	9	30	13.3	6.3	2829
1	5	19	26.7	12.1	5203
4	4	3	12.8	5.2	247
2	4	8	6.2	-3.4	5689
5	5	16	20.7	14.7	2433
6	10	25	12.7	5	890
5	9	5	28.7	12.4	2896
3	6	11	23	16.3	2613
1	9	1	27.2	14.2	88
3	12	3	5.8	-0.6	481
3	9	10	24.2	15.6	1538
2	6	3	17.9	4.3	192
5	2	14	-13.9	-20.8	53
3	1	15	-4.7	-20.8	183
5	6	6	19.8	8.9	4310
4	10	2	13	4	260
0	9	14	20.9	14.4	2564
6	4	5	0.9	-5.2	5402
5	10	31	8.1	-3.2	1396
4	5	8	29.5	12.4	4806
4	3	6	-6.9	-20.6	6444
5	1	24	-0.7	-2.9	163
6	5	10	25.2	13.4	4365
1	4	21	12.1	4.6	1446
0	3	23	-6.1	-15.9	342
1	8	25	25.9	14.9	6095
0	7	27	29.6	19.4	4756
3	1	8	-7.4	-27.5	3809
0	10	19	9.4	-4.9	2717
2	9	9	27.9	16.9	5792
5	7	11	28.6	17.8	1879
1	7	21	25.1	14.8	3114
4	11	6	19.5	9.8	6136
4	2	13	-18	-23.7	163
0	6	8	22	14.4	5722
2	10	7	19	7	6371
3	9	17	27.9	16.6	6652
3	4	16	16.3	-0.4	3639
0	2	23	-11.1	-24.6	170
6	2	1	-14.2	-20.2	75
3	2	19	-8	-18.5	224
6	3	22	-8.9	-15.4	110
5	7	25	26.2	14.2	4193
3	4	2	10.2	-2.8	263
0	9	21	20.9	7.4	5371
2	2	4	-3.7	-9.5	870
6	2	22	-3.6	-11.6	94
1	9	22	22.7	10.6	6228
6	8	30	25.8	17.7	3703
2	1	14	-14.4	-23.3	183
0	3	30	4	-0.7	439
5	1	10	-9	-13.4	4950
1	6	16	22.8	14	3120
6	10	11	17.9	7.6	3385
4	5	15	21.4	7.1	5533
2	3	11	7.8	-0.3	3738
4	1	9	-6.1	-14.6	6289
1	2	24	-8.7	-25.4	241
4	2	20	-14.6	-19.6	137
2	6	24	24.2	13.6	4818
0	9	7	32.2	21.9	6339
5	11	14	4.1	-0.2	979
1	7	7	30.2	20.4	4590
4	6	19	20.5	11.8	6273
5	2	28	-5.5	-17	119
2	2	18	-7	-21.6	261
0	8	24	28.5	18.7	5111
4	10	9	8.7	4.7	6886
3	1	22	-9.3	-18.1	278
1	10	6	15.4	10.9	6341
4	4	10	11.5	3.1	1962
5	11	7	10.6	2.9	4801
2	10	21	10.1	0.5	3717
1	9	15	26	14	6763
5	5	30	30.5	11.1	3304
3	11	5	17.1	4.3	1490
1	1	6	-8.6	-19.1	3319
6	10	4	15.3	2.9	795
6	3	29	3.3	-9.8	375
6	3	8	-0.3	-6.4	3842
3	2	5	-7.1	-22.2	4244
6	11	15	7.5	0.5	913
2	1	21	-10.6	-20.8	242
4	8	7	22.2	12	6586
4	3	13	-2	-10	401
4	4	17	20.4	6.2	3320
0	9	28	21.4	14.4	4313
0	4	13	22	2.2	2990
